timestamp,power
1612111500,143
1612112400,170
1612113300,148
1612114200,220
1612115100,116
1612116000,159
1612116900,143
1612117800,221
1612118700,174
1612119600,167
1612120500,193
1612121400,194
1612122300,183
1612123200,274
1612124100,210
1612125000,231
1612125900,202
1612126800,218
1612127700,185
1612128600,221
1612129500,153
1612130400,131
1612131300,105
1612132200,121
1612133100,121
1612134000,127
1612134900,76
1612135800,94
1612136700,68
1612137600,100
1612138500,99
1612139400,81
1612140300,94
1612141200,81
1612142100,89
1612143000,91
1612143900,96
1612144800,106
1612145700,88
1612146600,85
1612147500,85
1612148400,71
1612149300,119
1612150200,85
1612151100,106
1612152000,76
1612152900,117
1612153800,119
1612154700,143
1612155600,103
1612156500,96
1612157400,60
1612158300,74
1612159200,42
1612160100,94
1612161000,43
1612161900,98
1612162800,52
1612163700,79
1612164600,47
1612165500,191
1612166400,84
1612167300,94
1612168200,67
1612169100,78
1612170000,53
1612170900,177
1612171800,86
1612172700,71
1612173600,81
1612174500,39
1612175400,73
1612176300,42
1612177200,58
1612178100,73
1612179000,69
1612179900,73
1612180800,51
1612181700,59
1612182600,216
1612183500,117
1612184400,65
1612185300,66
1612186200,55
1612187100,78
1612188000,60
1612188900,177
1612189800,95
1612190700,64
1612191600,268
1612192500,115
1612193400,89
1612194300,113
1612195200,116
1612196100,164
1612197000,129
1612197900,126
1612198800,125
1612199700,306
1612200600,167
1612201500,131
1612202400,178
1612203300,113
1612204200,177
1612205100,115
1612206000,157
1612206900,126
1612207800,126
1612208700,132
1612209600,120
1612210500,146
1612211400,127
1612212300,142
1612213200,105
1612214100,111
1612215000,113
1612215900,160
1612216800,105
1612217700,112
1612218600,86
1612219500,155
1612220400,118
1612221300,128
1612222200,75
1612223100,105
1612224000,69
1612224900,103
1612225800,86
1612226700,113
1612227600,75
1612228500,91
1612229400,87
1612230300,84
1612231200,115
1612232100,81
1612233000,102
1612233900,72
1612234800,109
1612235700,72
1612236600,90
1612237500,116
1612238400,90
1612239300,97
1612240200,124
1612241100,132
1612242000,91
1612242900,83
1612243800,193
1612244700,87
1612245600,78
1612246500,52
1612247400,78
1612248300,80
1612249200,64
1612250100,95
1612251000,42
1612251900,83
1612252800,44
1612253700,72
1612254600,53
1612255500,158
1612256400,113
1612257300,91
1612258200,50
1612259100,70
1612260000,78
1612260900,89
1612261800,90
1612262700,601
1612263600,557
1612264500,95
1612265400,114
1612266300,127
1612267200,67
1612268100,137
1612269000,114
1612269900,110
1612270800,96
1612271700,143
1612272600,117
1612273500,166
1612274400,127
1612275300,140
1612276200,128
1612277100,168
1612278000,127
1612278900,162
1612279800,331
1612280700,432
1612281600,344
1612282500,377
1612283400,296
1612284300,136
1612285200,181
1612286100,220
1612287000,151
1612287900,149
1612288800,121
1612289700,142
1612290600,149
1612291500,165
1612292400,157
1612293300,158
1612294200,154
1612295100,128
1612296000,191
1612296900,150
1612297800,128
1612298700,93
1612299600,63
1612300500,96
1612301400,102
1612302300,85
1612303200,100
1612304100,53
1612305000,95
1612305900,70
1612306800,61
1612307700,65
1612308600,52
1612309500,66
1612310400,87
1612311300,49
1612312200,63
1612313100,52
1612314000,74
1612314900,53
1612315800,63
1612316700,83
1612317600,45
1612318500,79
1612319400,34
1612320300,76
1612321200,57
1612322100,77
1612323000,51
1612323900,66
1612324800,51
1612325700,90
1612326600,105
1612327500,70
1612328400,56
1612329300,72
1612330200,189
1612331100,123
1612332000,45
1612332900,98
1612333800,52
1612334700,85
1612335600,43
1612336500,48
1612337400,72
1612338300,61
1612339200,86
1612340100,42
1612341000,153
1612341900,114
1612342800,92
1612343700,74
1612344600,93
1612345500,51
1612346400,72
1612347300,77
1612348200,101
1612349100,105
1612350000,116
1612350900,132
1612351800,104
1612352700,158
1612353600,128
1612354500,132
1612355400,195
1612356300,111
1612357200,137
1612358100,110
1612359000,148
1612359900,111
1612360800,160
1612361700,105
1612362600,141
1612363500,112
1612364400,169
1612365300,164
1612366200,120
1612367100,133
1612368000,136
1612368900,380
1612369800,131
1612370700,133
1612371600,179
1612372500,140
1612373400,142
1612374300,105
1612375200,85
1612376100,103
1612377000,155
1612377900,185
1612378800,156
1612379700,158
1612380600,102
1612381500,133
1612382400,109
1612383300,154
1612384200,133
1612385100,138
1612386000,117
1612386900,70
1612387800,85
1612388700,81
