timestamp,power
1588284000,3279
1588284900,3031
1588285800,3172
1588286700,3393
1588287600,3054
1588288500,3011
1588289400,2797
1588290300,3161
1588291200,3269
1588292100,2379
1588293000,1882
1588293900,1739
1588294800,621
1588295700,644
1588296600,655
1588297500,591
1588298400,495
1588299300,636
1588300200,683
1588301100,648
1588302000,581
1588302900,498
1588303800,611
1588304700,701
1588305600,821
1588306500,757
1588307400,625
1588308300,1126
1588309200,1286
1588310100,1243
1588311000,1107
1588311900,1091
1588312800,1185
1588313700,1133
1588314600,1002
1588315500,974
1588316400,2486
1588317300,1022
1588318200,998
1588319100,814
1588320000,557
1588320900,939
1588321800,1093
1588322700,961
1588323600,773
1588324500,598
1588325400,648
1588326300,420
1588327200,555
1588328100,544
1588329000,720
1588329900,680
1588330800,701
1588331700,752
1588332600,894
1588333500,736
1588334400,627
1588335300,671
1588336200,778
1588337100,675
1588338000,716
1588338900,683
1588339800,878
1588340700,873
1588341600,687
1588342500,1247
1588343400,1524
1588344300,1139
1588345200,1521
1588346100,2736
1588347000,2146
1588347900,1926
1588348800,2623
1588349700,3150
1588350600,2774
1588351500,3115
1588352400,2792
1588353300,2849
1588354200,2418
1588355100,3113
1588356000,3238
1588356900,3290
1588357800,4314
1588358700,5591
1588359600,3962
1588360500,4659
1588361400,4863
1588362300,5067
1588363200,4530
1588364100,3773
1588365000,3979
1588365900,4038
1588366800,3897
1588367700,2880
1588368600,3374
1588369500,3280
1588370400,3135
1588371300,2973
1588372200,2886
1588373100,3026
1588374000,2643
1588374900,3340
1588375800,2850
1588376700,3468
1588377600,3720
1588378500,2715
1588379400,2578
1588380300,2570
1588381200,2331
1588382100,2025
1588383000,1988
1588383900,2115
1588384800,1666
1588385700,600
1588386600,461
1588387500,518
1588388400,656
1588389300,671
1588390200,745
1588391100,785
1588392000,762
1588392900,810
1588393800,770
1588394700,1080
1588395600,1059
1588396500,885
1588397400,805
1588398300,627
1588399200,540
1588400100,649
1588401000,602
1588401900,632
1588402800,1436
1588403700,1093
1588404600,657
1588405500,695
1588406400,587
1588407300,736
1588408200,1091
1588409100,721
1588410000,552
1588410900,426
1588411800,569
1588412700,594
1588413600,560
1588414500,547
1588415400,718
1588416300,769
1588417200,801
1588418100,611
1588419000,721
1588419900,617
1588420800,704
1588421700,847
1588422600,763
1588423500,648
1588424400,642
1588425300,749
1588426200,721
1588427100,530
1588428000,571
1588428900,636
1588429800,645
1588430700,3335
1588431600,3393
1588432500,3419
1588433400,4724
1588434300,4705
1588435200,3677
1588436100,3718
1588437000,3236
1588437900,3119
