timestamp,power
1588284000,934
1588284900,1009
1588285800,1159
1588286700,991
1588287600,1160
1588288500,1097
1588289400,846
1588290300,918
1588291200,928
1588292100,650
1588293000,779
1588293900,856
1588294800,2182
1588295700,2207
1588296600,1825
1588297500,1432
1588298400,1219
1588299300,1064
1588300200,948
1588301100,1090
1588302000,867
1588302900,899
1588303800,994
1588304700,950
1588305600,863
1588306500,999
1588307400,979
1588308300,839
1588309200,919
1588310100,954
1588311000,713
1588311900,978
1588312800,1296
1588313700,1004
1588314600,1020
1588315500,891
1588316400,869
1588317300,824
1588318200,903
1588319100,869
1588320000,1078
1588320900,1213
1588321800,988
1588322700,1734
1588323600,1832
1588324500,1273
1588325400,1742
1588326300,1641
1588327200,1278
1588328100,1065
1588329000,949
1588329900,886
1588330800,764
1588331700,822
1588332600,786
1588333500,1003
1588334400,2083
1588335300,1751
1588336200,1538
1588337100,1273
1588338000,1040
1588338900,1094
1588339800,873
1588340700,909
1588341600,970
1588342500,1015
1588343400,903
1588344300,874
1588345200,986
1588346100,837
1588347000,1031
1588347900,1053
1588348800,889
1588349700,1144
1588350600,966
1588351500,1529
1588352400,2571
1588353300,2017
1588354200,1371
1588355100,1103
1588356000,1353
1588356900,1065
1588357800,1203
1588358700,2209
1588359600,1627
1588360500,1426
1588361400,1552
1588362300,1271
1588363200,1081
1588364100,992
1588365000,1059
1588365900,1010
1588366800,1002
1588367700,833
1588368600,970
1588369500,968
1588370400,755
1588371300,1066
1588372200,1096
1588373100,1067
1588374000,1050
1588374900,827
1588375800,846
1588376700,823
1588377600,952
1588378500,619
1588379400,666
1588380300,699
1588381200,1883
1588382100,1988
1588383000,1357
1588383900,1180
1588384800,1228
1588385700,1000
1588386600,1090
1588387500,1077
1588388400,1047
1588389300,1106
1588390200,1097
1588391100,1083
1588392000,1017
1588392900,1809
1588393800,1507
1588394700,1693
1588395600,2310
1588396500,2222
1588397400,2194
1588398300,2338
1588399200,2279
1588400100,2314
1588401000,2355
1588401900,2515
1588402800,2287
1588403700,2305
1588404600,2463
1588405500,2157
1588406400,2293
1588407300,2397
1588408200,2314
1588409100,2326
1588410000,2310
1588410900,2094
1588411800,2152
1588412700,2232
1588413600,2129
1588414500,2080
1588415400,1648
1588416300,1401
1588417200,1058
1588418100,1857
1588419000,1620
1588419900,1150
1588420800,2671
1588421700,2697
1588422600,1645
1588423500,1581
1588424400,2467
1588425300,1664
1588426200,1443
1588427100,1153
1588428000,1180
1588428900,1023
1588429800,923
1588430700,891
1588431600,1374
1588432500,1042
1588433400,939
1588434300,888
1588435200,939
1588436100,1105
1588437000,911
1588437900,860
1588438800,861
1588439700,787
1588440600,793
1588441500,877
